,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,כמות המופעים של המילה לאורך השנים
abalone,0,0,0,0,0,0,0,0,0,0,2,1,5,6,1,10,7,4,2,5,11,11,0,1,2,23,5,9,6,15
abbeel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,8,37,0,4,32,7,9,7,14,16,12
abbott,0,0,0,8,2,5,6,0,0,4,6,30,19,6,2,6,3,6,9,4,2,10,13,13,8,11,10,6,6,24
abbreviate,0,0,0,0,0,0,0,1,1,0,0,1,0,4,1,1,5,1,6,6,0,1,4,6,4,4,2,5,4,11
abbreviated,1,0,1,0,2,3,3,1,0,2,2,0,1,0,1,3,6,1,0,5,4,3,2,7,5,4,5,4,4,17
abc,3,3,0,3,2,4,0,1,1,5,3,2,0,0,3,9,8,19,32,16,7,10,19,9,24,9,28,26,44,23
abeles,4,0,1,0,0,11,5,2,4,9,14,11,6,2,0,5,2,3,3,0,1,4,0,3,0,1,0,0,0,16
abernethy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,15,17,10,32,12,40,7
abilistic,1,0,0,0,0,0,1,2,0,0,1,2,4,2,1,2,0,0,0,2,4,5,5,3,7,1,3,6,0,13
abilities,27,11,10,11,8,19,9,5,10,8,16,7,5,7,7,3,2,7,4,10,5,12,10,12,10,18,17,15,8,29
ability,68,50,51,66,80,75,64,69,69,63,69,56,60,43,55,61,89,52,84,116,135,133,146,165,142,218,158,216,190,29
ables,0,0,1,1,1,0,3,4,2,7,4,5,14,7,5,0,3,0,0,17,14,16,23,27,22,24,36,26,0,19
abnormal,1,1,3,0,7,2,4,3,0,5,6,2,8,18,0,2,18,0,0,11,3,2,4,5,4,1,1,3,3,20
abound,1,1,1,0,1,0,0,0,1,1,3,2,3,2,2,2,1,4,0,2,2,3,3,5,5,3,4,3,1,16
abrupt,2,3,1,0,1,4,0,1,3,1,1,4,2,1,0,2,2,2,2,3,7,10,4,7,2,16,3,7,5,20
abs,3,0,0,0,5,0,0,6,3,0,0,1,2,5,6,22,1,15,5,4,7,1,13,15,15,19,48,82,102,19
abscissa,7,1,1,4,5,2,3,2,3,1,0,2,0,3,2,1,0,0,3,1,1,2,4,4,4,5,5,7,0,18
absence,21,26,28,27,43,11,18,27,21,23,31,21,21,21,16,27,25,29,46,39,34,44,43,55,39,57,83,54,49,29
absent,4,1,7,2,9,9,1,1,0,2,3,6,7,10,20,9,10,6,23,14,9,7,21,14,19,16,20,12,17,25
absolute,12,17,22,35,38,31,28,33,33,33,37,35,23,24,30,35,51,51,50,80,66,87,73,129,134,151,129,147,177,29
absolutely,1,1,5,1,1,1,3,0,1,1,2,0,7,2,3,4,5,5,6,8,13,20,9,15,8,19,13,10,21,20
absorbed,3,1,2,2,0,1,1,2,0,5,0,0,4,4,0,3,6,0,0,4,0,6,1,7,5,19,13,6,14,17
absorbing,2,0,0,0,0,1,5,3,2,10,1,3,6,3,0,1,4,3,4,10,1,3,3,1,2,21,18,6,19,19
absorption,0,0,0,1,0,4,1,0,1,0,0,3,6,0,0,0,0,0,0,0,1,0,0,1,0,51,16,2,3,7
abstract,94,106,108,160,157,140,157,165,167,159,210,171,171,176,107,178,219,221,228,263,255,299,363,326,358,413,399,468,451,29
abstraction,2,6,6,2,23,4,2,5,2,3,7,6,34,35,1,5,18,8,15,6,51,21,60,28,68,35,18,18,21,28
abstractions,2,1,1,0,2,2,1,5,0,0,1,0,11,1,0,2,0,1,0,5,19,1,17,6,26,4,7,3,11,15
abstracts,0,2,2,2,0,2,3,1,5,3,3,6,0,4,3,4,7,9,3,5,6,7,23,3,5,6,3,11,10,25
abundance,1,1,0,2,0,0,0,0,0,1,0,0,4,1,0,0,2,18,6,12,3,2,2,3,3,6,3,3,8,15
abundant,1,1,1,0,0,0,3,0,2,1,0,0,1,2,0,1,6,3,3,2,5,1,2,6,5,6,14,8,9,15
abuse,0,0,0,0,1,0,1,1,2,0,0,0,0,0,2,2,5,2,13,5,8,10,10,21,14,25,23,30,29,16
academic,17,7,21,23,22,16,26,18,21,24,23,15,24,17,18,12,26,22,18,23,23,19,21,23,32,35,35,22,30,29
academy,7,6,6,6,4,11,4,10,10,7,10,2,3,3,0,4,5,6,13,11,16,11,36,38,34,38,43,51,57,28
